th	11041216
he	8777481
in	8183017
er	6886382
an	6654068
re	6193763
es	5375123
on	5278132
st	4920850
at	4700566
to	4676205
en	4582456
or	4530770
nd	4523978
nt	4397975
ti	4382152
ea	4266232
ou	4078358
ng	3921425
te	3871798
it	3849050
ed	3846101
ar	3698976
ha	3564716
al	3524606
is	3378339
et	3348460
se	3080568
as	3040044
ve	2978667
le	2967979
of	2783001
ro	2727880
me	2636299
ne	2587529
ta	2511107
ra	2509852
de	2496189
co	2485506
sa	2483418
ll	2465573
si	2458774
hi	2443631
ec	2433004
ri	2407801
so	2294680
li	2212149
el	2188505
om	2113582
ur	2052150
di	2026287
io	2025682
ic	2007177
ma	1997462
ot	1980391
ca	1927390
ce	1920840
rt	1911233
la	1881410
tt	1874857
be	1874221
fo	1870930
na	1863661
ho	1863635
yo	1846467
rs	1834049
ch	1827207
ee	1815424
ns	1787089
ac	1767472
il	1752548
no	1750968
em	1725061
ss	1716036
us	1702011
ts	1655825
lo	1633072
wi	1622706
ut	1589757
ei	1525164
pe	1515881
ni	1457918
da	1457587
ly	1443777
tr	1440469
ow	1431651
ge	1417956
pr	1401135
nc	1389097
wa	1343558
sh	1340901
un	1325254
ad	1312703
dt	1306549
ew	1302305
eo	1300493
we	1293218
do	1290980
ct	1289452
ep	1260344
os	1251339
mo	1234236
wh	1222265
ol	1217354
ef	1188062
am	1187160
ie	1141786
pa	1134967
id	1127664
ft	1125968
fi	1123310
ai	1115501
oo	1101804
ke	1090644
po	1074287
pl	1052718
ul	1048464
ir	1042271
ay	1036722
mi	1029729
ev	1020492
su	1008132
op	986728
im	975840
ab	954581
sp	944166
vi	941757
ld	939598
ig	931816
ds	919069
ga	912427
av	908301
gh	905271
s.	900197
wo	882038
fe	873370
sc	872375
ry	865636
s,	860669
tu	845031
iv	844494
ty	835054
ap	831609
od	830016
eb	822913
ht	816701
ia	812482
ag	807630
mp	791618
tw	791354
ey	782944
bo	780710
go	766868
fa	766136
if	765020
ls	761252
rd	760905
bu	757955
fr	750899
ci	744562
bl	743494
,a	725252
sw	722607
oc	714465
e.	704785
gi	701422
ov	696859
rm	680250
gt	678287
uc	677072
eg	671464
ck	668030
ys	665651
gr	660714
ba	656246
ex	647770
lt	647737
rc	635316
e,	624126
yt	613727
ki	597936
.t	589680
's	589530
ff	588352
oa	586749
eh	585097
up	571576
ya	571410
cl	559261
ob	557854
rn	555020
du	550842
cr	541941
ny	538484
oi	537710
ak	537215
ye	528178
pp	526141
,t	525435
dr	521068
tc	514929
pi	510368
tl	509961
cu	500361
sf	497878
.i	492787
rr	487936
af	469594
ua	469317
db	467422
sm	457628
lu	457209
ru	454746
og	454178
ug	453170
ue	452812
au	451949
rk	448308
um	442232
nf	437439
t.	423862
qu	415742
dw	404996
yi	402450
bi	401788
sl	401426
dd	395822
rl	394783
nn	391863
br	387289
sb	385183
va	383702
ok	382837
by	382721
pt	382425
fu	380442
ui	378798
gs	377101
tm	376549
rg	376273
ud	372547
mu	372517
,i	372312
't	367496
sn	363314
t,	360373
ip	358874
,w	357673
rp	356580
rf	354702
n'	353950
mm	344688
nu	344334
dc	344315
nl	343785
tf	340056
y,	339841
ms	338494
d.	331901
pu	331074
df	328853
aw	323911
n.	322932
hr	322186
n,	319591
my	318946
dm	317526
dh	317514
tb	317375
gu	315842
eu	310848
mb	309821
y.	297852
,b	296747
yc	293427
nk	292564
wn	292277
yw	291990
rw	291222
ks	291204
sy	289790
r,	289452
nm	288113
ju	288085
ik	287255
nw	285051
d,	284771
rb	283588
dp	281160
dl	281015
tp	279487
sd	279094
r.	278590
cc	274334
,s	273054
oe	271429
nb	269810
lp	268835
fl	267160
ib	263370
oh	261052
rv	259986
dy	258305
.a	258155
yp	256784
ph	255461
nh	247179
lf	246269
ps	246262
gn	243414
ub	241748
yb	240690
mt	240649
dn	238893
sr	238394
gl	235713
td	231210
ym	226008
rh	225210
np	224379
sk	223717
00	223703
lb	223237
yf	221469
xp	221456
t'	217149
oy	214905
fy	212474
lc	212116
e'	211612
ka	211367
dg	209188
yd	202782
nv	201036
20	196368
jo	196088
hu	195074
kn	194473
ek	194250
iz	191543
.s	189766
yl	188887
hs	188603
yh	187566
ws	186562
.w	183101
lm	182864
hy	182193
vo	181677
tn	176856
fs	175245
eq	174566
.'	170493
ze	166093
xt	165482
nr	163312
lw	161556
g.	159887
yr	155613
ah	155565
,o	154514
wt	154488
sg	153474
.h	149923
fc	147517
l,	147505
e-	146592
g,	145569
gf	145521
ko	144518
l.	144018
,c	143861
bs	143139
gw	143076
kt	142375
,h	142050
yn	136235
i'	135427
gg	134982
gy	134758
lr	133496
je	132169
iw	131059
tg	130728
dv	128561
m.	128403
0.	125737
gp	124956
,m	124778
wr	123929
.b	123181
,'	122580
,p	121533
gc	120279
cs	120190
hm	117193
10	116583
gm	114711
fm	113428
lv	113032
cy	112230
hc	109588
,y	109096
hn	108233
fp	106281
,e	106201
-t	105828
lk	105166
fh	104665
lh	102467
hl	102429
,f	102033
ih	101873
01	101467
hw	100059
uw	98986
.m	98379
xi	98299
gb	98016
19	97570
yg	97134
h,	96860
'r	95769
xa	94155
0,	93808
.c	92661
u'	92284
ja	91641
'm	91200
h.	91163
fw	91052
o,	90756
,d	89654
m,	89638
nj	89222
aa	88207
ej	88134
.o	88086
-s	85536
a,	84265
e1	83661
uf	83423
hh	83354
a.	83337
y'	83064
t-	82961
.y	82088
xc	81947
